key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR
log_dev_function_enabled,"You have enabled the '{0}' function.
In current version of the asset this function is under development and may work with errors.","'{0}' 機能を有効化しました。
現在のアセットのバージョンではこの機能は開発中であり、エラーが発生する可能性があります。","'{0}' 기능을 활성화했습니다.
현재 버전의 에셋에서는 이 기능이 개발 중이며 오류가 있을 수 있습니다.","您已启用“{0}”功能。
在当前版本的资源中，该功能仍在开发中，可能会出现错误。","Has habilitado la función '{0}'.
En la versión actual del asset, esta función está en desarrollo y puede funcionar con errores.","Sie haben die Funktion '{0}' aktiviert.
In der aktuellen Version des Assets befindet sich diese Funktion in der Entwicklung und kann fehlerhaft arbeiten.","Vous avez activé la fonction '{0}'.
Dans la version actuelle de l’actif, cette fonction est en développement et peut comporter des erreurs."
log_downloading_fonts,Downloading fonts: {0} of {1},フォントをダウンロード中: {0} / {1},폰트 다운로드 중: {0}/{1},正在下载字体: {0}/{1},Descargando fuentes: {0} de {1},Schriftarten werden heruntergeladen: {0} von {1},Téléchargement des polices : {0} sur {1}
log_downloading_images,Downloading images: {0} of {1},画像をダウンロード中: {0} / {1},이미지 다운로드 중: {0}/{1},正在下载图像: {0}/{1},Descargando imágenes: {0} de {1},Bilder werden heruntergeladen: {0} von {1},Téléchargement des images : {0} sur {1}
log_drawn_count,Drawing '{0}' components: {1} of {2},'{0}' コンポーネントを描画中: {1} / {2},'{0}' 컴포넌트 그리기: {1}/{2},正在绘制“{0}”组件: {1}/{2},Dibujando componentes '{0}': {1} de {2},Zeichne '{0}'-Komponenten: {1} von {2},Dessin des composants '{0}' : {1} sur {2}
log_enable_http_project_settings,"Unity doesn't allow establishing an HTTP connection.
To proceed with the import, open Project Settings > Player > Configuration, and switch the 'Allow downloads over HTTP' option to 'Always allowed'.","Unity が HTTP 接続を確立できません。
インポートを続行するには、Project Settings > Player > Configuration を開き、'Allow downloads over HTTP' を 'Always allowed' に切り替えてください。","Unity에서 HTTP 연결을 허용하지 않습니다.
가져오기를 계속하려면 Project Settings > Player > Configuration으로 이동하여 'Allow downloads over HTTP' 옵션을 'Always allowed'로 변경하세요.","Unity 不允许建立 HTTP 连接。
要继续导入，请打开 Project Settings > Player > Configuration，并将“Allow downloads over HTTP”选项切换为“Always allowed”。","Unity no permite establecer una conexión HTTP.
Para continuar con la importación, abre Ajustes del proyecto > Player > Configuration y cambia la opción 'Permitir descargas vía HTTP' (Allow downloads over HTTP) a 'Siempre permitido' (Always allowed).","Unity erlaubt keine HTTP-Verbindung.
Öffnen Sie zum Fortfahren Projekt-Einstellungen > Player > Konfiguration und stellen Sie die Option 'Downloads über HTTP zulassen' (Allow downloads over HTTP) auf 'Immer zulassen' (Always allowed).","Unity n’autorise pas la création d’une connexion HTTP.
Pour continuer l’import, ouvrez Paramètres du projet > Joueur > Configuration et passez l’option 'Autoriser les téléchargements via HTTP' (Allow downloads over HTTP) sur 'Toujours autorisé' (Always allowed)."
log_fcu_assigned,{0} {1}'s ({2}) assigned.,{0} {1} （{2}） が割り当てられました。,{0} {1}（{2}） 할당됨.,{0} {1} （{2}） 已分配。,Asignado {0} {1} ({2}).,{0} {1} ({2}) wurde zugewiesen.,{0} {1} ({2}) assigné.
log_generating_sprites,Generating sprites:  {0} of {1},スプライトを生成中: {0} / {1},스프라이트 생성 중: {0}/{1},正在生成精灵: {0}/{1},Generando sprites: {0} de {1},Sprites werden generiert: {0} von {1},Génération des sprites : {0} sur {1}
log_generating_tmp_fonts,Generating TMP fonts: {0} of {1},TMP フォントを生成中: {0} / {1},TMP 폰트 생성 중: {0}/{1},正在生成 TMP 字体: {0}/{1},Generando fuentes TMP: {0} de {1},TMP-Schriften werden generiert: {0} von {1},Génération des polices TMP : {0} sur {1}
log_getting_frames,Getting frames: {0} of {1},フレームを取得中: {0} / {1},프레임 가져오기: {0}/{1},正在获取画框: {0}/{1},Obteniendo marcos: {0} de {1},Frames werden abgerufen: {0} von {1},Récupération des images : {0} sur {1}
log_getting_links,Getting links to download images: {0} of {1},画像をダウンロードするリンクを取得中: {0} / {1},이미지 다운로드 링크 가져오기: {0}/{1},正在获取下载图像的链接: {0}/{1},Obteniendo enlaces para descargar imágenes: {0} de {1},Links zum Herunterladen von Bildern werden abgerufen: {0} von {1},Récupération des liens pour télécharger des images : {0} sur {1}
log_import_complete,Import complete!,インポートが完了しました!,가져오기 완료!,导入完成！,¡Importación completada!,Import abgeschlossen!,Importation terminée !
log_import_task_canceled,Import task was canceled.,インポート処理がキャンセルされました。,가져오기 작업이 취소되었습니다.,导入任务已被取消。,La tarea de importación se canceló.,Der Importvorgang wurde abgebrochen.,La tâche d’importation a été annulée.
log_instantiate_game_objects,Instantiating GameObjects...,GameObjects をインスタンス化中…,게임오브젝트 인스턴스화 중...,正在实例化游戏对象...,Instanciando GameObjects...,GameObjects werden instanziiert...,Instanciation des GameObjects...
log_local_prefabs_found,{0} prefabs found.,{0} 個のプレハブが見つかりました。,프리팹 {0}개 발견됨.,找到 {0} 个预制体。,Se encontraron {0} prefabs.,{0} Prefabs gefunden.,{0} prefabs trouvés.
log_malformed_url,"For some of your components ({0}), download links for images were not found. Possible reasons:
1. You are importing frames that have a large size in pixels. Try reducing the Image Scale in the Main Settings of the asset;
2. You need to reauthorize in your Figma account within the asset;
3. You have exceeded the request limit to the Figma API, and you need to wait some time before attempting another import;
4. Your component is hidden, has zero, or negative size.

If the advice from points 1, 2, or 3 did not help, please contact the developer.
Also, you can try using an asset for procedural image generation instead of the standard one, for example, the free Shapes2D asset. You can read more about this in the ""Manual for developers"" attached to the asset.

List of these components:
{1}","一部のコンポーネント （{0}） に対し、画像のダウンロードリンクが見つかりませんでした。考えられる原因:
1. ピクセルサイズが大きいフレームをインポートしています。アセットのメイン設定で Image Scale を小さくしてみてください;
2. アセット内で Figma アカウントの再認証が必要です;
3. Figma API のリクエスト制限を超えており、再試行する前にしばらく待つ必要があります;
4. コンポーネントが非表示、またはゼロもしくは負のサイズになっています。

1, 2, 3 の対処法で解決しない場合は、開発者にお問い合わせください。
また、標準の代わりに手続き型の画像生成用アセット （例: 無料の Shapes2D アセット） を試すこともできます。詳細はアセットに添付の「開発者向けマニュアル」をご参照ください。

これらのコンポーネント一覧:
{1}","일부 컴포넌트（{0}）에 대한 이미지 다운로드 링크를 찾을 수 없습니다. 가능한 이유:
1. 픽셀 크기가 큰 프레임을 가져오고 있습니다. 에셋 메인 설정에서 이미지 크기를 줄여 보세요;
2. 에셋 내에서 Figma 계정을 다시 인증해야 합니다;
3. Figma API 요청 한도를 초과했으므로 다시 가져오기 전에 잠시 기다려야 합니다;
4. 컴포넌트가 숨겨져 있거나 크기가 0 또는 음수입니다.

1, 2, 3번 조치가 도움이 되지 않는 경우 개발자에게 문의하세요.
또한 표준 에셋 대신 절차적 이미지 생성용 에셋을 사용할 수 있습니다. 예: 무료 Shapes2D 에셋. 이에 대한 자세한 내용은 에셋에 첨부된 ""개발자 매뉴얼""에서 확인할 수 있습니다.

이 컴포넌트 목록:
{1}","部分组件 （{0}） 未找到图像下载链接。可能原因：
1. 您正在导入的画框像素尺寸过大。请尝试在资源的 Main Settings 中减小 Image Scale；
2. 您需要在资源中重新登录 Figma 账户；
3. 您已超过 Figma API 请求限制，需要等待一段时间再尝试导入；
4. 您的组件被隐藏、大小为零或负数。

如果 1、2 或 3 的建议无效，请联系开发人员。
您还可以尝试使用程序化图像生成功能替代标准方法，例如免费的 Shapes2D 资源。关于此内容，可在资源附带的《开发者手册》中阅读。

这些组件的列表：
{1}","Para algunos de tus componentes ({0}), no se encontraron enlaces de descarga de imágenes. Posibles razones:
1. Estás importando marcos que tienen un tamaño grande en píxeles. Intenta reducir la escala de imagen en la Configuración Principal del asset;
2. Debes volver a autorizar tu cuenta de Figma dentro del asset;
3. Has excedido el límite de solicitudes a la API de Figma y necesitas esperar un tiempo antes de intentar otra importación;
4. Tu componente está oculto, tiene tamaño cero o negativo.

Si los consejos de los puntos 1, 2 o 3 no ayudaron, por favor contacta al desarrollador.
También puedes intentar usar un asset de generación de imágenes procedimental en lugar del estándar, por ejemplo, el asset gratuito Shapes2D. Puedes leer más sobre esto en el ""Manual para desarrolladores"" adjunto al asset.

Lista de estos componentes:
{1}","Für einige Ihrer Komponenten ({0}) wurden keine Download-Links für Bilder gefunden. Mögliche Gründe:
1. Sie importieren Frames mit einer großen Pixelgröße. Versuchen Sie, den Image Scale in den Haupteinstellungen des Assets zu reduzieren;
2. Sie müssen sich in Ihrem Figma-Konto innerhalb des Assets erneut autorisieren;
3. Sie haben das Anfrage-Limit an die Figma API überschritten und müssen eine Weile warten, bevor Sie einen weiteren Import versuchen;
4. Ihre Komponente ist ausgeblendet, hat null oder negative Größe.

Wenn die Ratschläge aus den Punkten 1, 2 oder 3 nicht helfen, wenden Sie sich bitte an den Entwickler.
Sie können auch versuchen, ein Asset zur prozeduralen Bildgenerierung anstelle des Standard-Assets zu verwenden, zum Beispiel das kostenlose Shapes2D-Asset. Mehr dazu finden Sie im ""Manual for developers"", das dem Asset beiliegt.

Liste dieser Komponenten:
{1}","Pour certains de vos composants ({0}), les liens de téléchargement des images n’ont pas été trouvés. Raisons possibles :
1. Vous importez des images avec une grande taille en pixels. Essayez de réduire l’échelle d’image dans les paramètres principaux de l’actif ;
2. Vous devez vous réauthentifier dans votre compte Figma au sein de l’actif ;
3. Vous avez dépassé la limite de requêtes vers l’API Figma et devez attendre un certain temps avant de réessayer ;
4. Votre composant est masqué, a une taille nulle ou négative.

Si les conseils des points 1, 2 ou 3 n’ont pas aidé, contactez le développeur.
Vous pouvez également essayer d’utiliser un actif de génération d’images procédurales plutôt que l’actif standard, par exemple l’actif gratuit Shapes2D. Vous trouverez plus d’informations à ce sujet dans le « Manuel pour développeurs » joint à l’actif.

Liste de ces composants :
{1}"
log_mark_as_sprite,Assigning  'Sprite' type to the downloaded images:  {0} of {1},ダウンロードした画像に 'Sprite' タイプを割り当て中: {0} / {1},다운로드된 이미지에 'Sprite' 유형을 할당 중: {0}/{1},将已下载图像分配为“Sprite”类型: {0}/{1},Asignando tipo 'Sprite' a las imágenes descargadas: {0} de {1},Heruntergeladenen Bildern wird der Typ 'Sprite' zugewiesen: {0} von {1},Attribution du type 'Sprite' aux images téléchargées : {0} sur {1}
log_need_auth,Import stopped. Reauthorization required.,インポートが停止しました。再認証が必要です。,가져오기가 중단되었습니다. 다시 인증이 필요합니다.,导入已停止。需要重新授权。,Importación detenida. Se requiere volver a autorizar.,Import gestoppt. Erneute Autorisierung erforderlich.,Importation arrêtée. Réauthentification requise.
log_no_google_fonts_api_key,Google Fonts API key is missing; fonts cannot be downloaded.,Google Fonts API キーがないため、フォントをダウンロードできません。,Google Fonts API 키가 없어 폰트를 다운로드할 수 없습니다.,缺少 Google Fonts API 密钥，无法下载字体。,Falta la clave de la API de Google Fonts; no se pueden descargar las fuentes.,"Der Google-Fonts-API-Schlüssel fehlt, daher können keine Schriftarten heruntergeladen werden.",La clé d’API Google Fonts est absente ; impossible de télécharger les polices.
log_nothing_to_import,Nothing to import. Select at least one frame in Figma.,インポートするものがありません。Figma で少なくとも 1 つのフレームを選択してください。,가져올 항목이 없습니다. Figma에서 최소 한 개의 프레임을 선택하세요.,没有可导入的内容。请在 Figma 中至少选择一个画框。,No hay nada que importar. Selecciona al menos un frame en Figma.,Nichts zu importieren. Wähle mindestens einen Frame in Figma aus.,Rien à importer. Sélectionnez au moins un cadre dans Figma.
log_open_auth_page,Opening authorization page in the web browser…,ブラウザで認証ページを開いています…,웹 브라우저에서 인증 페이지 열기…,正在通过浏览器打开授权页面…,Abriendo página de autorización en el navegador web…,Autorisierungsseite im Webbrowser öffnen…,Ouverture de la page d’autorisation dans le navigateur web…
log_prefabs_created,{0} prefabs created.,{0} 個のプレハブを作成しました。,프리팹 {0}개 생성됨.,已创建 {0} 个预制体。,{0} prefabs creados.,{0} Prefabs erstellt.,{0} prefabs créés.
log_project_downloaded,The project has been downloaded. Select the page you want to get frames from.,プロジェクトがダウンロードされました。フレームを取得したいページを選択してください。,프로젝트가 다운로드되었습니다. 프레임을 가져올 페이지를 선택하세요.,项目已下载。请选择要获取画框的页面。,El proyecto ha sido descargado. Selecciona la página de la que deseas obtener marcos.,"Das Projekt wurde heruntergeladen. Wählen Sie die Seite, von der Sie Frames erhalten möchten.",Le projet a été téléchargé. Sélectionnez la page à partir de laquelle vous souhaitez obtenir les images.
log_project_empty,Project is empty.,プロジェクトは空です。,프로젝트가 비어 있습니다.,项目为空。,El proyecto está vacío.,Projekt ist leer.,Le projet est vide.
log_project_not_found,"Either this file doesn't exist or you don't have permission to view it. Ask the file owner to verify the link and/or update permissions. If you are using a team project, read the 'Teamwork' section in 'Manual for designers.pdf'.",このファイルが存在しないか、閲覧する権限がありません。ファイル所有者にリンクを確認/権限を更新してもらってください。チームプロジェクトを使用している場合は、『Manual for designers.pdf』の『Teamwork』セクションを参照してください。,"이 파일이 존재하지 않거나 볼 수 있는 권한이 없습니다. 파일 소유자에게 링크와 권한을 확인하도록 요청하세요. 팀 프로젝트를 사용하는 경우, 'Manual for designers.pdf'의 'Teamwork' 섹션을 참고하세요.",该文件不存在或您无权查看。请让文件所有者验证链接或更新权限。如果您使用的是团队项目，请阅读《Manual for designers.pdf》中的“Teamwork”部分。,"Este archivo no existe o no tienes permiso para verlo. Pide al propietario del archivo que verifique el enlace y/o actualice los permisos. Si estás utilizando un proyecto de equipo, lee la sección 'Trabajo en equipo' en 'Manual for designers.pdf'.","Entweder existiert diese Datei nicht oder Sie haben keine Berechtigung zur Anzeige. Bitten Sie den Dateibesitzer, den Link zu überprüfen und/oder die Berechtigungen zu aktualisieren. Wenn Sie ein Teamprojekt verwenden, lesen Sie den Abschnitt 'Teamwork' in 'Manual for designers.pdf'.","Soit ce fichier n’existe pas, soit vous n’avez pas la permission de le consulter. Demandez au propriétaire du fichier de vérifier le lien et/ou de mettre à jour les autorisations. Si vous utilisez un projet d’équipe, lisez la section « Travail en équipe » dans « Manual for designers.pdf »."
log_search_local_prefabs,Searching prefabs…,プレハブを検索中…,프리팹 검색 중…,正在搜索预制体…,Buscando prefabs…,Prefabs werden gesucht…,Recherche de prefabs…
log_set_anchors,Setting anchors: {0} of {1},アンカーを設定中: {0} / {1},앵커 설정 중: {0}/{1},正在设置锚点: {0}/{1},Estableciendo anclas: {0} de {1},Anker setzen: {0} von {1},Définition des ancres : {0} sur {1}
log_ssl_error,"Turn off HTTPS in Main Settings.
Error: {0}
Status: {1}","メイン設定で HTTPS をオフにしてください。
エラー: {0}
ステータス: {1}","메인 설정에서 HTTPS를 끄세요.
오류: {0}
상태: {1}","请在主设置中关闭 HTTPS。
错误: {0}
状态: {1}","Desactiva HTTPS en Configuración Principal.
Error: {0}
Estado: {1}","Deaktivieren Sie HTTPS in den Haupteinstellungen.
Fehler: {0}
Status: {1}","Désactivez HTTPS dans les paramètres principaux.
Erreur : {0}
Statut : {1}"
log_start_adding_to_fonts_list,Start adding fonts to the list...,フォントをリストに追加し始めています…,폰트를 목록에 추가 시작...,开始将字体添加到列表...,Iniciando la adición de fuentes a la lista...,Beginne mit dem Hinzufügen von Schriftarten zur Liste...,Début de l’ajout des polices à la liste...
log_start_creating_prefabs,Start creating prefabs...,プレハブの作成を開始…,프리팹 생성 시작...,开始创建预制体...,Iniciando la creación de prefabs...,Beginne mit dem Erstellen von Prefabs...,Début de la création des prefabs...
log_start_download_images,Start downloading images...,画像のダウンロードを開始…,이미지 다운로드 시작...,开始下载图像...,Iniciando la descarga de imágenes...,Beginne mit dem Herunterladen von Bildern...,Début du téléchargement des images...
log_tagging,Tagging in progress. Processed items: {0},タグ付けを実行中。処理済みアイテム: {0},태깅 진행 중. 처리된 항목: {0},标签处理中。已处理项目: {0},Etiquetado en progreso. Elementos procesados: {0},Tagging läuft. Verarbeitete Elemente: {0},Étiquetage en cours. Éléments traités : {0}
log_tagging_by_parts,Tagging in progress. Part {0}...,タグ付けを実行中。パート {0}…,태깅 진행 중. {0} 부분...,标签处理中。第 {0} 部分...,Etiquetado en progreso. Parte {0}...,Tagging läuft. Teil {0}...,Étiquetage en cours. Partie {0}...
log_unknown_aligment,"Unable to recognize alignment.
Aligment: {0}
Component: {1}
Please report this error to the developer.","アライメントを認識できません。
アライメント: {0}
コンポーネント: {1}
このエラーを開発者に報告してください。","정렬을 인식할 수 없습니다.
정렬: {0}
컴포넌트: {1}
이 오류를 개발자에게 보고하세요.","无法识别对齐方式。
对齐方式: {0}
组件: {1}
请将此错误报告给开发人员。","No se puede reconocer la alineación.
Alineación: {0}
Componente: {1}
Por favor, informa de este error al desarrollador.","Ausrichtung konnte nicht erkannt werden.
Ausrichtung: {0}
Komponente: {1}
Bitte melden Sie diesen Fehler dem Entwickler.","Impossible de reconnaître l’alignement.
Alignement : {0}
Composant : {1}
Veuillez signaler cette erreur au développeur."
log_unknown_error,"Unknown error:
Status: {1}
Error: {0}
Exception: {2}","不明なエラー:
ステータス: {1}
エラー: {0}
例外: {2}","알 수 없는 오류:
상태: {1}
오류: {0}
예외: {2}","未知错误:
状态: {1}
错误: {0}
异常: {2}","Error desconocido:
Estado: {1}
Error: {0}
Excepción: {2}","Unbekannter Fehler:
Status: {1}
Fehler: {0}
Ausnahme: {2}","Erreur inconnue :
Statut : {1}
Erreur : {0}
Exception : {2}"
log_not_authorized,Not authorized. Please sign in to Figma before running this action.,認証されていません。操作する前に Figma にサインインしてください。,인증되지 않았습니다. 이 작업을 실행하기 전에 Figma에 로그인하세요.,未授权。请先登录 Figma 后再执行此操作。,No estás autorizado. Inicia sesión en Figma antes de ejecutar esta acción.,Nicht autorisiert. Melde dich vor diesem Vorgang bei Figma an.,Non autorisé. Connectez-vous à Figma avant d’exécuter cette action.
log_incorrent_project_url,Incorrect project url.,プロジェクトURLが正しくありません。,잘못된 프로젝트 URL입니다.,项目 URL 不正确。,URL de proyecto incorrecta.,Falsche Projekt-URL.,URL du projet incorrecte.
log_name_linking_not_recommended,"You switched the '{0}' to '{1}'.
This mode is not recommended for use because objects with the same names can get confused during linking.
Please refer to the manual included with the 'UITK Element Linker' asset to learn more about this in detail.","'{0}' を '{1}' に切り替えました。
このモードは、同じ名前のオブジェクトがリンク時に混乱する可能性があるため、使用は推奨されません。
詳細については、'UITK Element Linker' アセットに含まれるマニュアルをご参照ください。","'{0}'을（를） '{1}'로 전환했습니다.  
이 모드는 동일한 이름을 가진 객체가 연결 중 혼동될 수 있으므로 사용을 권장하지 않습니다.  
자세한 내용은 'UITK Element Linker' 에셋에 포함된 설명서를 참고하십시오.","您已将“{0}”切换为“{1}”。
此模式不建议使用，因为具有相同名称的对象在链接过程中可能会混淆。
请参阅随“UITK Element Linker”资源附带的手册以了解更多详细信息。","Has cambiado '{0}' a '{1}'.
Este modo no se recomienda para su uso porque los objetos con los mismos nombres pueden confundirse durante la vinculación.
Por favor, consulta el manual incluido con el recurso 'UITK Element Linker' para aprender más sobre esto en detalle.","Sie haben '{0}' auf '{1}' umgeschaltet.  
Dieser Modus wird nicht zur Verwendung empfohlen, da Objekte mit denselben Namen beim Verknüpfen verwechselt werden können.  
Bitte lesen Sie das Handbuch, das dem 'UITK Element Linker'-Asset beiliegt, um mehr darüber zu erfahren.","Vous avez changé le '{0}' en '{1}'.
Ce mode n'est pas recommandé car des objets portant les mêmes noms peuvent être confondus lors du lien.
Veuillez vous référer au manuel inclus avec l'asset 'UITK Element Linker' pour en savoir plus en détail."
log_svg_scale_1,SVG scale reset to 1.0 to keep the shapes accurate.,図形を正しく保つため、SVG のスケールを 1.0 にリセットしました。,도형 정확도를 위해 SVG 스케일을 1.0으로 재설정했습니다.,为保持图形准确，SVG 缩放已重置为 1.0。,"La escala SVG se restableció a 1,0 para mantener las formas correctas.","SVG-Skalierung auf 1,0 zurückgesetzt, um die Formen korrekt zu halten.","L’échelle SVG a été réinitialisée à 1,0 pour préserver la justesse des formes."
loading_google_fonts,Loading '{0}' fonts data from Google repository...,Google リポジトリから '{0}' フォントデータを読み込み中...,Google 저장소에서 '{0}' 폰트 데이터를 불러오는 중...,正在从 Google 仓库加载“{0}”字体数据...,Cargando datos de fuentes '{0}' desde el repositorio de Google...,Lade '{0}' Schriftartdaten aus dem Google-Repository...,Chargement des données de polices '{0}' depuis le dépôt Google...
cant_download_fonts,"Failed to download {0} fonts, you need to add them to the project manually: {1}",{0} 個のフォントのダウンロードに失敗しました。{1} を手動でプロジェクトに追加する必要があります。,{0} 폰트를 다운로드하지 못했습니다. 수동으로 프로젝트에 추가해야 합니다: {1},下载 {0} 字体失败，您需要将它们手动添加到项目中：{1},"Error al descargar {0} fuentes, necesitas añadirlas manualmente al proyecto: {1}","Fehler beim Herunterladen von {0} Schriftarten, Sie müssen diese manuell dem Projekt hinzufügen: {1}","Échec du téléchargement des polices {0}, vous devez les ajouter manuellement au projet : {1}"
cant_generate_fonts,"Failed to generate {0} fonts, you need to generate them manually: {1}",{0} 個のフォントの生成に失敗しました。{1} を手動で生成する必要があります。,{0} 폰트를 생성하지 못했습니다. 수동으로 생성해야 합니다: {1},生成 {0} 字体失败，您需要手动生成它们：{1},"Error al generar {0} fuentes, necesitas generarlas manualmente: {1}","Fehler beim Generieren von {0} Schriftarten, Sie müssen diese manuell generieren: {1}","Échec de la génération des polices {0}, vous devez les générer manuellement : {1}"
